Category,Category_short,Item_Name,GLEAM3_name,Item_group,GLEAM_Method,GLEASTAT_version,DM,GE,DE_ruminants,DE_pigs,ME_ruminants,ME_pigs,ME_chickens,CP,N_content,N_dig_ruminants,N_dig_pigs
Crop residues,CropResidues,Banana stems,BNSTEM,GLEAMX,GLEAMX,v1,11.6,17.4,12.4,5,9.9,,,9.8,0.01568,54.7,
Fruits and vegetables,FruitsVegetables,Banana fruit,BNFRUIT,GLEAMX,GLEAMX,v1,21.9,17.1,13.3,14.2,11.3,13.8,13.7,5.2,0.00832,,53.6
Fruits and vegetables,FruitsVegetables,Plantains and others,,GLEAMX,GLEAMX,v1,6.9,16.9,,5.75,,,,6.1,0.00976,,
Fruits and vegetables,FruitsVegetables,Dates,,GLEAMX,GLEAMX,v1,84,17.6,14,14.2,11.9,,,3.7,0.00592,30.1,
Fruits and vegetables,FruitsVegetables,Figs,,GLEAMX,GLEAMX,v1,32,17,,,9.7,,,13.9,0.02224,68.4,
Fruits and vegetables,FruitsVegetables,"Mangoes, guavas, mangosteens",,GLEAMX,GLEAMX,v1,59.17,18.3,16.4,14,11.9,,10.8,5.7,0.00912,72.1,
Fruits and vegetables,FruitsVegetables,Papayas,,GLEAMX,GLEAMX,v1,44.6,17.5,,11.4,,,,17.5,0.028,,
Fruits and vegetables,FruitsVegetables,Pomelos and grapefruits,,GLEAMX,GLEAMX,v1,12.7,17.9,,13.7,,,,7,0.0112,,
Fruits and vegetables,FruitsVegetables,Lemons and limes,,GLEAMX,GLEAMX,v1,62,18.5,12.3,7.8,10.2,,,9.7,0.01552,,41.4
Fruits and vegetables,FruitsVegetables,Oranges,,GLEAMX,GLEAMX,v1,17.85,18.2,16.2,13.9,13.6,,,7.3,0.01168,72.3,67.7
Fruits and vegetables,FruitsVegetables,Grapes,,GLEAMX,GLEAMX,v1,45.45,18.3,7,,5.7,,,7.5,0.012,7.9,
Fruits and vegetables,FruitsVegetables,Apples,,GLEAMX,GLEAMX,v1,20.8,19,12.8,10,10.7,,,6.8,0.01088,51.8,58
Fruits and vegetables,FruitsVegetables,Locust beans (carobs),,GLEAMX,GLEAMX,v1,86.7,18.7,13.6,12.5,10.9,10.8,,20,0.032,46.6,70.6
Oil crops,OilCrops,Soya beans,SOY,GLEAMX,GLEAMX,v1,88.7,23.6,19.8,19.3,15.3,14,16.55,39.6,0.06336,92.5,86.5
Oil crops,OilCrops,"Groundnuts, excluding shelled",,GLEAMX,GLEAMX,v1,92.9,25.9,22.9,12.5,18.2,,,20.4,,74,
Oil crops,OilCrops,Cottonseed,,GLEAMX,GLEAMX,v1,92.3,23.8,15.2,15.2,12,13.4,10.55,21.8,0.03488,70.2,66
Oil crops,OilCrops,Linseed,,GLEAMX,GLEAMX,v1,91.5,27.1,22.6,20.9,18.2,20.2,16.1,23.7,0.03792,73.9,83
Oil crops,OilCrops,Mustard seed,,GLEAMX,GLEAMX,v1,91.7,28.4,,21.7,,,,23.4,0.03744,,
